ID_SALES,negative,neutral,positive
HC661A,0,1,2
HC664A,0,0,3
HC681A,1,1,1
HC697A,1,1,1
HC6A,1,1,1
HC754A,0,2,1
HC782A,0,1,2
HC789A,1,0,2
HC790A,3,0,0
HC791A,1,2,0
HC793A,2,1,0
HC803A,0,0,3
HC814A,1,1,1
HC826A,0,1,2
HC82A,0,0,3
HC833A,0,1,2
HC843A,1,2,0
HC84A,2,0,1
HC852A,1,2,0
HC85A,1,2,0
HC876A,0,0,3
HC896A,0,0,3
HC909A,0,0,3
HC918A,1,0,2
HC921A,0,0,3
HC93A,0,0,3
HC947A,3,0,0
HC952A,1,2,0
HC957A,0,0,3
HC961A,0,0,3
HC966A,1,2,0
HC975T,0,0,3
HC982A,1,2,0
HC983A,1,1,1
HC987A,1,0,2
HC98A,0,0,3
HD1000A,1,1,1
HD1002A,0,2,1
HD1003A,0,2,1
HD1004A,0,3,0
HD1007A,1,1,1
HD100A,0,1,2
HD1012A,1,0,3
HD1015A,0,0,3
HD1017A,0,0,3
HD1018A,0,0,3
HD1019T,1,0,2
HD1022A,0,0,3
HD1024A,2,1,0
HD1026A,2,1,0
HD1028T,0,2,1
HD102A,2,1,0
HD1030A,0,0,3
HD1031A,0,0,4
HD1033A,0,1,2
HD1034A,0,3,0
HD1037A,0,1,2
HD1038A,0,1,2
HD1041A,3,0,0
HD1042T,0,0,3
HD1043A,2,1,0
HD1044A,1,2,0
HD1046A,0,0,3
HD1049A,2,0,1
HD1050A,0,1,2
HD1053A,2,1,0
HD1058A,2,1,0
HD105A,1,1,1
HD1060A,1,1,1
HD1061A,1,0,2
HD1064A,1,1,1
HD1065A,1,1,1
HD1067A,2,0,2
HD1068A,0,2,1
HD1069A,1,2,0
HD1070A,1,1,1
HD1071A,1,2,0
HD1075A,1,0,2
HD1076A,0,0,3
HD1078A,2,1,0
HD1079A,0,0,3
HD1080T,0,0,3
HD1081A,2,1,0
HD1083A,1,0,2
HD1087A,0,0,3
HD108A,1,0,2
HD1091A,1,2,0
HD1092A,0,3,0
HD1093A,1,0,2
HD1095A,2,1,0
HD1097A,1,1,1
